DATAFLOW,LAST UPDATE,freq,unit,stk_flow,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AM,2013,15.04,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AM,2014,16.26,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AM,2015,15.96,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AM,2016,15.47,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AM,2017,13.26,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AM,2018,11.58,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AM,2019,11.47,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AM,2020,11.47,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AM,2021,12.28,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AM,2022,12.03,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AZ,2013,17.80,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AZ,2014,18.00,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AZ,2015,17.60,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AZ,2016,15.70,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AZ,2017,17.70,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AZ,2018,16.80,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AZ,2019,17.50,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AZ,2020,16.80,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AZ,2021,16.40,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,AZ,2022,13.10,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,BY,2013,35.00,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,BY,2014,50.00,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,BY,2015,30.00,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,BY,2016,23.00,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,BY,2017,12.00,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,BY,2018,11.50,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,BY,2019,10.00,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,BY,2020,8.75,
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,GE,2013,4.15,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,GE,2014,3.99,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,GE,2015,6.30,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,GE,2016,7.21,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,GE,2017,6.97,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,GE,2018,7.00,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,GE,2019,6.98,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,GE,2020,8.52,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,GE,2021,9.46,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,GE,2022,10.93,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,MD,2013,6.50,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,MD,2014,9.50,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,MD,2015,22.50,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,MD,2016,12.00,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,MD,2017,9.50,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,MD,2018,9.50,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,MD,2019,8.50,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,MD,2020,5.15,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,MD,2021,8.50,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,MD,2022,22.00,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,UA,2013,7.15,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,UA,2014,15.57,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,UA,2015,25.22,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,UA,2016,17.40,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,UA,2017,15.90,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,UA,2018,19.20,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,UA,2019,18.35,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,UA,2020,7.89,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,UA,2021,7.67,d
ESTAT:ENPE_IRT_LD(1.0),31/01/24 23:00:00,A,RT,LOAN,UA,2022,19.80,d
